title,total,price,qu,lu,xiaoqu,huxing,louceng,mianji,taoneimianji,jianzhuleixing,chaoxiang,jianchengniandai,zhuangxiuqingkuang,jianzhujiegou,gongnuanfangshi,tihubili,dianti,jiaoyishuxing,fangwuyongtu,chanquannianxian
江苏路499弄1室1厅41.23平米_上海江苏路499弄二手房成交房源(上海链家),279,67670,长宁,镇宁路,江苏路499弄,1室1厅1厨1卫,中楼层(共7层),41.23㎡,平层,板楼,南,1996,简装,钢混结构,,一梯四户,无,商品房,普通住宅,暂无数据
梅川一街坊2室1厅57.64平米_上海梅川一街坊二手房成交房源(上海链家),373,64713,普陀,长风,梅川一街坊,2室1厅1厨1卫,中楼层(共6层),57.64㎡,平层,板楼,南,1991,精装,砖混结构,,一梯两户,无,商品房,普通住宅,暂无数据
上海源花城3室2厅135.33平米_上海上海源花城二手房成交房源(上海链家),455,33622,松江,九亭,上海源花城,3室2厅1厨2卫,中楼层(共17层),135.33㎡,平层,板楼,南,2006,毛坯,钢混结构,,两梯两户,有,商品房,普通住宅,暂无数据
上大阳光乾恩园2室2厅107.73平米_上海上大阳光乾恩园二手房成交房源(上海链家),435,40379,宝山,上大,上大阳光乾恩园,2室2厅1厨1卫,低楼层(共10层),107.73㎡,平层,板楼,南,2003,精装,钢混结构,,一梯两户,有,商品房,普通住宅,暂无数据
惠益新苑2室1厅78.69平米_上海惠益新苑二手房成交房源(上海链家),193,24527,浦东,惠南,惠益新苑,2室1厅1厨1卫,低楼层(共18层),78.69㎡,平层,板楼,南,2014,简装,钢混结构,,两梯四户,有,动迁安置房,普通住宅,暂无数据
惠益新苑2室1厅79平米_上海惠益新苑二手房成交房源(上海链家),190,24051,浦东,惠南,惠益新苑,2室1厅1厨1卫,高楼层(共14层),79㎡,平层,板楼,南北,2014,毛坯,钢混结构,,两梯四户,有,动迁安置房,普通住宅,暂无数据
崧泽华城华中苑2室2厅79.65平米_上海崧泽华城华中苑二手房成交房源(上海链家),179,22474,青浦,赵巷,崧泽华城华中苑,2室2厅1厨1卫,高楼层(共18层),79.65㎡,平层,板楼,南,未知,毛坯,钢混结构,,两梯四户,有,动迁安置房,普通住宅,暂无数据
虹浦新城南区2室1厅77.15平米_上海虹浦新城南区二手房成交房源(上海链家),247,32016,闵行,浦江,虹浦新城南区,2室1厅1厨1卫,高楼层(共9层),77.15㎡,平层,板楼,南北,2008,其他,钢混结构,,一梯三户,有,商品房,普通住宅,暂无数据
九龙仓兰宫3室2厅157平米_上海九龙仓兰宫二手房成交房源(上海链家),840,53504,松江,松江大学城,九龙仓兰宫,3室2厅1厨2卫,低楼层(共3层),157㎡,复式,板楼,南,2014,其他,钢混结构,,一梯四户,无,商品房,别墅,暂无数据
当代高邸3室2厅105.37平米_上海当代高邸二手房成交房源(上海链家),520,49350,宝山,上大,当代高邸,3室2厅1厨1卫,低楼层(共6层),105.37㎡,暂无数据,板楼,南,2003,简装,钢混结构,,一梯两户,无,商品房,普通住宅,暂无数据
中环国际公寓(二期)1室2厅56.91平米_上海中环国际公寓(二期)二手房成交房源(上海链家),311,54648,宝山,共康,中环国际公寓(二期),1室2厅1厨1卫,中楼层(共17层),56.91㎡,平层,板楼,南,2015,精装,钢混结构,,两梯四户,有,商品房,普通住宅,暂无数据
